"FullName","Length","LastWriteTime"
"C:\Users\Admin\mi-primera-pagina\assets\img\_import\cartagena.jpg","897658","19/09/2025 9:05:16 p. m."
"C:\Users\Admin\mi-primera-pagina\assets\img\_import\chatgpt.png","37915","21/09/2025 2:26:23 a. m."
"C:\Users\Admin\mi-primera-pagina\assets\img\_import\Colombia.png","61631","20/09/2025 9:08:00 p. m."
"C:\Users\Admin\mi-primera-pagina\assets\img\_import\firebase.png","1393556","21/09/2025 1:56:47 a. m."
"C:\Users\Admin\mi-primera-pagina\assets\img\_import\github.png","53176","21/09/2025 2:53:06 a. m."
"C:\Users\Admin\mi-primera-pagina\assets\img\_import\hello.png","1065462","21/09/2025 2:54:19 a. m."
"C:\Users\Admin\mi-primera-pagina\assets\img\_import\logo.png","2397997","19/09/2025 11:03:24 p. m."
"C:\Users\Admin\mi-primera-pagina\assets\img\_import\visual-estudio.png","27982","21/09/2025 2:05:34 a. m."
"C:\Users\Admin\mi-primera-pagina\assets\img\_import\welcome.png","2265413","19/09/2025 11:01:41 p. m."
"C:\Users\Admin\mi-primera-pagina\assets\img\_inventory.csv","0","21/09/2025 1:33:26 p. m."
"C:\Users\Admin\mi-primera-pagina\assets\img\brand\sierra-logo.png","2397997","19/09/2025 11:03:24 p. m."
"C:\Users\Admin\mi-primera-pagina\assets\img\login\bg-cartagena-desktop.webp","897658","19/09/2025 9:05:16 p. m."
"C:\Users\Admin\mi-primera-pagina\assets\img\login\colombia.png","61631","20/09/2025 9:08:00 p. m."
"C:\Users\Admin\mi-primera-pagina\assets\img\login\hello-neon.png","1065462","21/09/2025 2:54:19 a. m."
"C:\Users\Admin\mi-primera-pagina\assets\img\login\welcome-neon.png","2265413","19/09/2025 11:01:41 p. m."
"C:\Users\Admin\mi-primera-pagina\assets\img\tech\chatgpt.png","37915","21/09/2025 2:26:23 a. m."
"C:\Users\Admin\mi-primera-pagina\assets\img\tech\firebase.png","1393556","21/09/2025 1:56:47 a. m."
"C:\Users\Admin\mi-primera-pagina\assets\img\tech\github.png","53176","21/09/2025 2:53:06 a. m."
"C:\Users\Admin\mi-primera-pagina\assets\img\tech\vscode.png","27982","21/09/2025 2:05:34 a. m."
